,id,date,total.calories,goal.calories
151,1,2015-02-18,2364.0,1824.0
152,1,2015-02-19,1892.0,2129.0
153,1,2015-02-20,2083.0,1497.0
154,1,2015-02-21,2643.0,3795.0
155,1,2015-02-22,2835.0,3229.0
156,1,2015-02-23,2034.0,2555.0
157,1,2015-02-24,2523.0,2324.0
158,1,2015-02-25,2272.0,2253.0
159,1,2015-02-26,1754.0,1744.0
160,1,2015-02-27,2605.0,2928.0
161,1,2015-02-28,2329.0,2904.0
162,1,2015-03-01,1769.0,2260.0
163,1,2015-03-02,2476.0,2745.0
164,1,2015-03-03,2818.0,2233.0
165,1,2015-03-04,2155.0,2846.0
166,1,2015-03-05,2135.0,2503.0
167,1,2015-03-06,2418.0,2669.0
168,1,2015-03-07,2912.0,2709.0
169,1,2015-03-08,4122.0,4578.0
170,1,2015-03-09,3009.0,2845.0
171,1,2015-03-10,2432.0,1819.0
172,1,2015-03-11,2280.0,2273.0
173,1,2015-03-12,1208.0,2329.0
174,2,2015-01-12,2117.0,1220.0
175,2,2015-01-13,1327.0,1420.0
176,2,2015-01-14,1431.0,1420.0
177,2,2015-01-15,1473.0,1420.0
178,2,2015-01-16,1444.0,1420.0
179,2,2015-01-17,1284.0,1420.0
180,2,2015-01-18,1238.0,1420.0
181,2,2015-01-19,1169.0,1420.0
182,2,2015-01-20,1390.0,1420.0
183,2,2015-01-21,1364.0,1380.0
184,2,2015-01-22,1396.0,1380.0
185,2,2015-01-23,1357.0,1380.0
186,2,2015-01-24,1641.0,1380.0
187,2,2015-01-25,1099.0,1380.0
188,2,2015-01-26,1251.0,1380.0
189,2,2015-01-27,1374.0,1380.0
190,2,2015-01-28,1391.0,1732.0
191,2,2015-01-29,1374.0,1380.0
192,2,2015-01-30,1168.0,1380.0
193,2,2015-01-31,1157.0,1732.0
194,2,2015-02-01,1411.0,1380.0
195,2,2015-02-02,1375.0,1380.0
196,2,2015-02-03,1336.0,1732.0
197,2,2015-02-04,1483.0,1380.0
198,2,2015-02-05,1373.0,1868.0
199,2,2015-02-06,1355.0,1380.0
200,2,2015-02-07,1561.0,1954.0
201,2,2015-02-08,1396.0,1380.0
202,2,2015-02-09,1339.0,2103.0
203,2,2015-02-10,1450.0,1850.0
204,2,2015-02-11,1640.0,1583.0
205,2,2015-02-12,1631.0,1380.0
206,2,2015-02-13,3776.0,1380.0
207,2,2015-02-14,1417.0,1380.0
208,2,2015-02-15,1478.0,1949.0
209,2,2015-02-16,1451.0,1380.0
210,2,2015-02-17,1292.0,1949.0
211,2,2015-02-18,1664.0,1380.0
212,2,2015-02-19,1355.0,1380.0
213,2,2015-02-20,1310.0,1380.0
214,2,2015-02-21,2451.0,2397.0
215,2,2015-02-22,1362.0,1380.0
216,2,2015-02-23,1365.0,1732.0
217,2,2015-02-24,1138.0,1380.0
218,2,2015-02-25,1907.0,1781.0
219,2,2015-02-26,1295.0,1380.0
220,2,2015-02-27,1437.0,1949.0
221,2,2015-02-28,1296.0,1380.0
222,2,2015-03-01,1157.0,1380.0
223,2,2015-03-02,1446.0,1805.0
224,2,2015-03-03,1367.0,1380.0
225,2,2015-03-04,2348.0,1780.0
226,2,2015-03-05,1650.0,1380.0
227,2,2015-03-06,1180.0,1889.0
228,2,2015-03-07,1348.0,1320.0
229,2,2015-03-08,1548.0,1320.0
230,2,2015-03-09,1673.0,1320.0
231,2,2015-03-10,1424.0,1320.0
232,2,2015-03-11,1444.0,1320.0
233,2,2015-03-12,56.0,1320.0
